[[112, 2, 12], 
[112, 5, 12], 
[112, 7, 12], 
[112, 11, 15], 
[112, 14, 15], 
[112, 16, 15], 
[112, 21, 15], 
[112, 27, 15], 
[112, 26, 15], 
[112, 32, 15], 
[112, 38, 15], 
[112, 40, 15], 
[112, 42, 15], 
[112, 47, 15], 
[112, 52, 15], 
[112, 54, 15], 
[112, 60, 15], 
[112, 61, 15], 
[112, 55, 15], 
[113, 3, 12], 
[113, 4, 12], 
[113, 8, 12], 
[113, 15, 15], 
[113, 17, 15], 
[113, 20, 15], 
[113, 25, 15], 
[113, 28, 15], 
[113, 31, 15], 
[113, 39, 15], 
[113, 44, 15], 
[113, 48, 15], 
[113, 62, 15], 
[113, 59, 15], 
[113, 45, 15], 
[113, 53, 15], 
[114, 11, 14], 
[114, 18, 14], 
[114, 29, 14], 
[114, 32, 14], 
[114, 37, 14], 
[114, 43, 14], 
[114, 48, 14], 
[114, 62, 14], 
[114, 58, 14], 
[114, 49, 14], 
[114, 2, 15], 
[115, 17, 15], 
[115, 5, 16], 
[115, 1, 16], 
[115, 21, 16], 
[115, 13, 17], 
[115, 27, 16], 
[115, 31, 16], 
[115, 44, 17], 
[115, 46, 17], 
[115, 59, 16], 
[115, 64, 17], 
[115, 52, 16], 
[115, 69, 15], 
[116, 38, 10], 
[117, 36, 14], 
[119, 36, 12], 
[118, 45, 15], 
[120, 37, 15], 
[120, 43, 15], 
[121, 44, 17], 
[118, 12, 15], 
[121, 13, 17], 
[121, 16, 17], 
[121, 29, 16], 
[121, 33, 16], 
[122, 31, 13], 
[122, 66, 14], 
[121, 65, 17], 
[121, 71, 15], 
[121, 7, 16], 
[122, 3, 13], 
[122, 6, 13], 
[119, 2, 8], 
[117, 4, 11], 
[119, 41, 11], 
[201, 46, 15], 
[202, 52, 14], 
[202, 49, 14]]

---------------------------------------
