[[74, 24, 15], 
[78, 38, 18], 
[79, 39, 20], 
[78, 17, 21], 
[79, 11, 19], 
[79, 11, 18], 
[79, 12, 20], 
[79, 9, 19], 
[79, 26, 19], 
[79, 25, 18], 
[79, 24, 19], 
[79, 28, 18], 
[79, 28, 20], 
[79, 30, 20], 
[81, 27, 19], 
[81, 31, 20], 
[80, 24, 18], 
[139, 19, 13], 
[137, 25, 12], 
[138, 22, 11], 
[137, 21, 12], 
[137, 26, 13], 
[137, 20, 15], 
[141, 20, 15], 
[140, 23, 15], 
[143, 22, 15], 
[177, 2, 17], 
[190, 16, 15], 
[191, 14, 15], 
[142, 3, 18], 
[142, 4, 22], 
[142, 33, 18], 
[142, 34, 22], 
[94, 37, 19], 
[94, 3, 19], 
[82, 10, 12], 
[82, 31, 11], 
[82, 35, 12], 
[82, 43, 11], 
[76, 50, 15], 
[73, 47, 14], 
[83, 7, 18], 
[77, 29, 16], 
[77, 19, 17], 
[77, 49, 17], 
[190, 45, 15], 
[190, 4, 15], 
[191, 6, 15], 
[191, 31, 15], 
[192, 25, 15], 
[192, 34, 15], 
[192, 44, 15], 
[192, 9, 15], 
[191, 41, 15], 
[190, 39, 15]]

---------------------------------------
